FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2012 ORDINANCE (AMOUNT $)
Local,310,MOTOR FUEL TAX FUND,81,DEPT STREETS AND SANITATION,2047,SNOW AND ICE REMOVAL,140,PROF & TECHNICAL SERVICES,$1050000
Local,310,MOTOR FUEL TAX FUND,81,DEPT STREETS AND SANITATION,2047,SNOW AND ICE REMOVAL,157,RENTAL EQUIPMENT AND SERVICES,$260500
Local,310,MOTOR FUEL TAX FUND,81,DEPT STREETS AND SANITATION,2047,SNOW AND ICE REMOVAL,162,REPAIR/MAINT EQUIPMENT,$45000
Local,310,MOTOR FUEL TAX FUND,81,DEPT STREETS AND SANITATION,2047,SNOW AND ICE REMOVAL,188,VEHICLE TRACKING SERVICE,$208550
Local,310,MOTOR FUEL TAX FUND,81,DEPT STREETS AND SANITATION,2047,SNOW AND ICE REMOVAL,340,MATERIAL AND SUPPLIES,$12119500
Local,310,MOTOR FUEL TAX FUND,81,DEPT STREETS AND SANITATION,2047,SNOW AND ICE REMOVAL,350,STATIONERY AND OFFICE SUPPL,$7000
Local,310,MOTOR FUEL TAX FUND,81,DEPT STREETS AND SANITATION,2047,SNOW AND ICE REMOVAL,9438,REIMBURSEMENT - DGS,$3560000
Local,310,MOTOR FUEL TAX FUND,81,DEPT STREETS AND SANITATION,2047,SNOW AND ICE REMOVAL,9481,REIMBURSEMENT - DSS,$3100000
Local,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,229,TRAN/EXP ALLOWANCE,$42000
Local,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,319,CLOTHING,$2034
Local,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,340,MATERIAL AND SUPPLIES,$1557090
Local,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,360,REPAIR PARTS AND MATERIAL,$273000
Local,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,365,ELECTRICAL SUPPLIES,$374750
Local,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2150,ELECTRICAL OPERATIONS,9438,REIMBURSEMENT - DGS,$1300000
Local,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2156,BRIDGES AND PAVEMENT MAINT,140,PROF & TECHNICAL SERVICES,$1075000
Local,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2156,BRIDGES AND PAVEMENT MAINT,157,RENTAL EQUIPMENT AND SERVICES,$3041822
Local,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2156,BRIDGES AND PAVEMENT MAINT,340,MATERIAL AND SUPPLIES,$4630442
Local,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2156,BRIDGES AND PAVEMENT MAINT,9438,REIMBURSEMENT - DGS,$3300000
Local,310,MOTOR FUEL TAX FUND,84,CHICAGO DEPT OF TRANSPORTATION,2156,BRIDGES AND PAVEMENT MAINT,9484,REIMBURSEMENT - CDOT,$5000312
Local,310,MOTOR FUEL TAX FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,902,INTEREST ON FIRST LIEN BONDS,$9768000
Local,310,MOTOR FUEL TAX FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,912,PAYMENT OF BONDS,$5850000
Local,310,MOTOR FUEL TAX FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9189,FOR ANNUAL PAYMENT TO CTA,$3000000
Local,314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,$668076
Local,314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,$519
Local,314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,138,PROF SERV-IT MAINT,$5000
Local,314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,140,PROF & TECHNICAL SERVICES,$34048
Local,314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINT/LICENSING,$325
Local,314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,154,RENTAL-DATA HARDWARE EQ,$15364
Local,314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,155,RENTAL OF PROPERTY,$1300
Local,314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,$20742
Local,314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE PURCHASE AGREEMNT,$5062
Local,314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,$2284
Local,314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,$1574
Local,314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,$3976
Local,314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMM SERVICES,$11536
Local,314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE NON-CENTREX,$9856
Local,314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TRAVELERS,$558
Local,314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,$1615
Local,314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,$2828
Local,314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,$3050
Local,314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MTL,$1082
Local,314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPL,$16082
Local,314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,$6392
Local,314,SEWER FUND,27,FINANCE,2011,CITY COMPTROLLER,140,PROF & TECHNICAL SERVICES,$15675
Local,314,SEWER FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,154,RENTAL-DATA HARDWARE EQ,$50000
Local,314,SEWER FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,190,TELEPHONE-CENTREX,$19250
Local,314,SEWER FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,197,TELEPHONE-MAINTENANCE,$210
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,5,SALARIES AND WAGES - ON PAYROLL,$477290
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,20,OVERTIME,$150
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,39,STUDENT AS TRAINEES,$1105
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,130,POSTAGE,$1301
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,138,PROF SERV-IT MAINT,$10435
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,140,PROF & TECHNICAL SERVICES,$40386
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,143,COURT REPORTING,$31842
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,145,LEGAL EXPENSES,$7208
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,149,SOFTWARE MAINT/LICENSING,$635
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,154,RENTAL-DATA HARDWARE EQ,$5435
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,157,RENTAL EQUIPMENT AND SERVICES,$462
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,162,REPAIR/MAINT EQUIPMENT,$206
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,166,DUES  SUBSC & MEM,$10486
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,169,TECHNICAL MEETING COSTS,$1892
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,178,FREIGHT/EXPENSE CHARGES,$231
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,181,MOBILE COMM SERVICES,$2290
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,190,TELEPHONE-CENTREX,$6988
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,197,TELEPHONE-MAINTENANCE,$1921
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,229,TRAN/EXP ALLOWANCE,$150
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,245,REIMBURSEMENT TRAVELERS,$3084
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,270,LOCAL TRANSPORTATION,$1617
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,348,BOOKS AND RELATED MTL,$1116
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,350,STATIONERY AND OFFICE SUPPL,$5435
Local,314,SEWER FUND,31,DEPARTMENT OF LAW,2005,DEPARTMENT OF LAW,9438,REIMBURSEMENT - DGS,$952
Local,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2131,BUREAU OF ASSET MANAGEMENT,140,PROF & TECHNICAL SERVICES,$2150
Local,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2131,BUREAU OF ASSET MANAGEMENT,155,RENTAL OF PROPERTY,$431221
Local,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2131,BUREAU OF ASSET MANAGEMENT,315,MOTOR VEHL DIESEL FUEL,$1244908
Local,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2131,BUREAU OF ASSET MANAGEMENT,320,GASOLINE,$180000
Local,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2131,BUREAU OF ASSET MANAGEMENT,322,NATURAL GAS,$75708
Local,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2131,BUREAU OF ASSET MANAGEMENT,331,ELECTRICITY,$109180
Local,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2140,FLEET OPERATIONS,5,SALARIES AND WAGES - ON PAYROLL,$2370312
Local,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2140,FLEET OPERATIONS,12,CONTRACT WAGE-PR,$39131
Local,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2140,FLEET OPERATIONS,20,OVERTIME,$50000
Local,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2140,FLEET OPERATIONS,140,PROF & TECHNICAL SERVICES,$200000
Local,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2140,FLEET OPERATIONS,162,REPAIR/MAINT EQUIPMENT,$48000
Local,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2140,FLEET OPERATIONS,176,MAINTN & OPERTN-CY VEHL,$250500
Local,314,SEWER FUND,38,FLEET AND FACILITY MANAGEMENT,2140,FLEET OPERATIONS,360,REPAIR PARTS AND MATERIAL,$470728
Local,314,SEWER FUND,67,DEPT OF BUILDINGS,2005,DEPT OF BUILDINGS,5,SALARIES AND WAGES - ON PAYROLL,$1443668
Local,314,SEWER FUND,67,DEPT OF BUILDINGS,2005,DEPT OF BUILDINGS,12,CONTRACT WAGE-PR,$5546
Local,314,SEWER FUND,67,DEPT OF BUILDINGS,2005,DEPT OF BUILDINGS,15,SCHEDULE SALARY ADJ,$7272
Local,314,SEWER FUND,67,DEPT OF BUILDINGS,2005,DEPT OF BUILDINGS,140,PROF & TECHNICAL SERVICES,$546000
Local,314,SEWER FUND,67,DEPT OF BUILDINGS,2005,DEPT OF BUILDINGS,159,LEASE PURCHASE AGREEMNT,$6000
Local,314,SEWER FUND,67,DEPT OF BUILDINGS,2005,DEPT OF BUILDINGS,162,REPAIR/MAINT EQUIPMENT,$2500
Local,314,SEWER FUND,67,DEPT OF BUILDINGS,2005,DEPT OF BUILDINGS,181,MOBILE COMM SERVICES,$6000
Local,314,SEWER FUND,67,DEPT OF BUILDINGS,2005,DEPT OF BUILDINGS,229,TRAN/EXP ALLOWANCE,$10500
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,ENGINEERING SERVICES,5,SALARIES AND WAGES - ON PAYROLL,$3525172
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,ENGINEERING SERVICES,12,CONTRACT WAGE-PR,$18380
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,ENGINEERING SERVICES,15,SCHEDULE SALARY ADJ,$2772
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,ENGINEERING SERVICES,20,OVERTIME,$1500
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,ENGINEERING SERVICES,150,PUBLICATN & REPRODT-OUT,$3000
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,ENGINEERING SERVICES,162,REPAIR/MAINT EQUIPMENT,$3000
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,ENGINEERING SERVICES,169,TECHNICAL MEETING COSTS,$2000
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,ENGINEERING SERVICES,229,TRAN/EXP ALLOWANCE,$43000
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,ENGINEERING SERVICES,245,REIMBURSEMENT TRAVELERS,$1125
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,ENGINEERING SERVICES,270,LOCAL TRANSPORTATION,$250
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,ENGINEERING SERVICES,340,MATERIAL AND SUPPLIES,$5000
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,ENGINEERING SERVICES,345,APPARATUS AND INSTRUMENTS,$3000
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,ENGINEERING SERVICES,348,BOOKS AND RELATED MTL,$1000
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,ENGINEERING SERVICES,350,STATIONERY AND OFFICE SUPPL,$6000
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,ENGINEERING SERVICES,360,REPAIR PARTS AND MATERIAL,$1000
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2015,ENGINEERING SERVICES,424,FURNITURE AND FURNISHINGS,$2000
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,OPERATIONS AND DISTRIBUTION,5,SALARIES AND WAGES - ON PAYROLL,$40743788
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,OPERATIONS AND DISTRIBUTION,12,CONTRACT WAGE-PR,$578424
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,OPERATIONS AND DISTRIBUTION,15,SCHEDULE SALARY ADJ,$14766
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,OPERATIONS AND DISTRIBUTION,20,OVERTIME,$277000
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,OPERATIONS AND DISTRIBUTION,130,POSTAGE,$10868
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,OPERATIONS AND DISTRIBUTION,140,PROF & TECHNICAL SERVICES,$2005878
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,OPERATIONS AND DISTRIBUTION,154,RENTAL-DATA HARDWARE EQ,$43285
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,OPERATIONS AND DISTRIBUTION,157,RENTAL EQUIPMENT AND SERVICES,$914963
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,OPERATIONS AND DISTRIBUTION,181,MOBILE COMM SERVICES,$226850
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,OPERATIONS AND DISTRIBUTION,185,WASTE DISPOSAL SERV,$3099920
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,OPERATIONS AND DISTRIBUTION,190,TELEPHONE-CENTREX,$25400
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,OPERATIONS AND DISTRIBUTION,229,TRAN/EXP ALLOWANCE,$61800
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,OPERATIONS AND DISTRIBUTION,340,MATERIAL AND SUPPLIES,$5210755
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,OPERATIONS AND DISTRIBUTION,401,TOOL <= $100 UNIT,$69525
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,OPERATIONS AND DISTRIBUTION,402,TOOLS > $100 UNIT,$128768
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,OPERATIONS AND DISTRIBUTION,423,COMMUNICATION DEVICES,$30000
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,OPERATIONS AND DISTRIBUTION,440,MACHINERY AND EQUIPMENT,$254000
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,OPERATIONS AND DISTRIBUTION,931,TORT/NON-TORT JUDGMENT,$227836
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,OPERATIONS AND DISTRIBUTION,9438,REIMBURSEMENT - DGS,$5483201
Local,314,SEWER FUND,88,DEPT OF WATER MANAGEMENT,2025,OPERATIONS AND DISTRIBUTION,9481,REIMBURSEMENT - DSS,$7363180
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,29,HMO PREMIUMS,$2271861
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,42,TEXT FILE - EXTRA LONG,$4581097
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,45,PREM TERM LIFE INSURANC,$70396
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,49,WORKER'S COMPENSATION,$3817800
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,51,UNEMPLY INSURANCE CLAIM,$234348
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,52,CLAIMS MED CARE-ANN/DEP,$2021619
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,56,PREM DENTAL PLAN,$235653
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,70,TUITION REIMBURSEMENT,$25000
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,121,INVESTIGATION COSTS FIN,$100000
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,138,PROF SERV-IT MAINT,$240024
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,140,PROF & TECHNICAL SERVICES,$5528
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,142,ACCOUNTING AND AUDITING,$150000
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,196,DATA CIRCUITS,$91200
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,903,INT WASTEWATER TRANSM R,$57400000
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,910,REDEMPTION WASTEWATER R,$29000000
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,934,CLAIMS AGAINST THE CITY,$15000
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,953,CLAIMS SEWER FUND,$500000
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9027,SOCIAL SECURITY TAX,$14068
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9076,CITY CNTB MEDICARE TAX,$596678
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9148,SENIOR CITIZEN SEWER,$400000
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9165,OUTSOURCING-DATA CENTER,$120003
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9376,TRANSFERS TO SEWER RATE STABILIZATION,$34690732
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9610,FOR REIMB PROV PENSION,$4709528
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9617,FOR REIMB-EXP-SEWER FD,$25964400
Local,314,SEWER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9710,FOR REIMB-WATER FUND,$7119314
Local,342,LIB F BUILDING/SITE,38,FLEET AND FACILITY MANAGEMENT,2126,BUREAU OF FACILITY MANAGEMENT,140,PROF & TECHNICAL SERVICES,$1105897
Local,342,LIB F BUILDING/SITE,38,FLEET AND FACILITY MANAGEMENT,2126,BUREAU OF FACILITY MANAGEMENT,160,REPAIR/MAINT PROPERTY,$1109537
Local,342,LIB F BUILDING/SITE,38,FLEET AND FACILITY MANAGEMENT,2126,BUREAU OF FACILITY MANAGEMENT,162,REPAIR/MAINT EQUIPMENT,$70000
Local,342,LIB F BUILDING/SITE,38,FLEET AND FACILITY MANAGEMENT,2126,BUREAU OF FACILITY MANAGEMENT,313,CLEANING AND SAN SUPPLY,$318000
Local,342,LIB F BUILDING/SITE,38,FLEET AND FACILITY MANAGEMENT,2126,BUREAU OF FACILITY MANAGEMENT,340,MATERIAL AND SUPPLIES,$440680
Local,342,LIB F BUILDING/SITE,38,FLEET AND FACILITY MANAGEMENT,2131,BUREAU OF ASSET MANAGEMENT,155,RENTAL OF PROPERTY,$1623886
Local,342,LIB F BUILDING/SITE,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,162,REPAIR/MAINT EQUIPMENT,$450000
Local,342,LIB F BUILDING/SITE,99,FINANCE GENERAL,2005,FINANCE GENERAL,955,INTER ON DAILY T NOTES,$166000
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MANAGEMENT,2126,BUREAU OF FACILITY MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,$1671456
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MANAGEMENT,2126,BUREAU OF FACILITY MANAGEMENT,12,CONTRACT WAGE-PR,$5531
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MANAGEMENT,2126,BUREAU OF FACILITY MANAGEMENT,15,SCHEDULE SALARY ADJ,$1771
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MANAGEMENT,2126,BUREAU OF FACILITY MANAGEMENT,91,UNIFORM ALLOWANCE,$12500
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MANAGEMENT,2126,BUREAU OF FACILITY MANAGEMENT,125,OFF AND BUILDING SERV,$2000000
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MANAGEMENT,2126,BUREAU OF FACILITY MANAGEMENT,140,PROF & TECHNICAL SERVICES,$1550797
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MANAGEMENT,2126,BUREAU OF FACILITY MANAGEMENT,160,REPAIR/MAINT PROPERTY,$466463
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MANAGEMENT,2126,BUREAU OF FACILITY MANAGEMENT,229,TRAN/EXP ALLOWANCE,$9000
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MANAGEMENT,2126,BUREAU OF FACILITY MANAGEMENT,270,LOCAL TRANSPORTATION,$1750
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MANAGEMENT,2131,BUREAU OF ASSET MANAGEMENT,140,PROF & TECHNICAL SERVICES,$17000
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MANAGEMENT,2131,BUREAU OF ASSET MANAGEMENT,183,WATER,$7000
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MANAGEMENT,2131,BUREAU OF ASSET MANAGEMENT,322,NATURAL GAS,$378285
Local,346,LIB F MAINT/OPERATN,38,FLEET AND FACILITY MANAGEMENT,2131,BUREAU OF ASSET MANAGEMENT,331,ELECTRICITY,$3051138
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,5,SALARIES AND WAGES - ON PAYROLL,$45387100
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,12,CONTRACT WAGE-PR,$5780
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,15,SCHEDULE SALARY ADJ,$296621
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,123,HONORARIUMS/PERFORMANCE,$8487
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,130,POSTAGE,$84600
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,140,PROF & TECHNICAL SERVICES,$145384
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,149,SOFTWARE MAINT/LICENSING,$432441
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,152,ADVERTISING,$64380
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,154,RENTAL-DATA HARDWARE EQ,$209972
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,157,RENTAL EQUIPMENT AND SERVICES,$120008
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,164,BOOKBINDING,$77576
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,165,GRAPHIC DESIGN SERV,$14540
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,166,DUES  SUBSC & MEM,$201750
Local,346,LIB F MAINT/OPERATN,91,CHICAGO PUBLIC LIBRARY,2005,CHICAGO PUBLIC LIBRARY,168,EDUCATION DEVELOPMENT,$53880
