FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,AMOUNT
GRANTS,0H93,HEALTHY FAMILIES ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2849,2849 - HEALTHY FAMILIES ILLINOIS,153,PROMOTIONS,$1000.00
GRANTS,0H93,HEALTHY FAMILIES ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2849,2849 - HEALTHY FAMILIES ILLINOIS,169,TECHNICAL MEETING COSTS,$2368.00
GRANTS,0H93,HEALTHY FAMILIES ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2849,2849 - HEALTHY FAMILIES ILLINOIS,181,MOBILE COMM SERVICES,$450.00
GRANTS,0H93,HEALTHY FAMILIES ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2849,2849 - HEALTHY FAMILIES ILLINOIS,190,TELEPHONE-CENTREX,$1152.00
GRANTS,0H93,HEALTHY FAMILIES ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2849,2849 - HEALTHY FAMILIES ILLINOIS,270,LOCAL TRANSPORTATION,$2800.00
GRANTS,0H93,HEALTHY FAMILIES ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2849,2849 - HEALTHY FAMILIES ILLINOIS,348,BOOKS AND RELATED MTL,$900.00
GRANTS,0H93,HEALTHY FAMILIES ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2849,2849 - HEALTHY FAMILIES ILLINOIS,350,STATIONERY AND OFFICE SUPPL,$1200.00
GRANTS,0H94,HEALTHY CHILD CARE ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2854,2854 - HEALTHY CHILD CARE IL,140,PROF & TECHNICAL SERVICES,$249070.00
GRANTS,0H94,HEALTHY CHILD CARE ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2854,2854 - HEALTHY CHILD CARE IL,229,TRAN/EXP ALLOWANCE,$1500.00
GRANTS,0H94,HEALTHY CHILD CARE ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2854,2854 - HEALTHY CHILD CARE IL,245,REIMBURSEMENT TRAVELERS,$380.00
GRANTS,0H94,HEALTHY CHILD CARE ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2854,2854 - HEALTHY CHILD CARE IL,270,LOCAL TRANSPORTATION,$534.00
GRANTS,0H94,HEALTHY CHILD CARE ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2854,2854 - HEALTHY CHILD CARE IL,340,MATERIAL AND SUPPLIES,$5450.00
GRANTS,0H94,HEALTHY CHILD CARE ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2854,2854 - HEALTHY CHILD CARE IL,348,BOOKS AND RELATED MTL,$6750.00
GRANTS,0H94,HEALTHY CHILD CARE ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2854,2854 - HEALTHY CHILD CARE IL,350,STATIONERY AND OFFICE SUPPL,$3612.00
GRANTS,0H94,HEALTHY CHILD CARE ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2854,2854 - HEALTHY CHILD CARE IL,446,PURCHASE-DATA HARDWARE,$2704.00
GRANTS,0H97,FAMILY PLANNING,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2818,2818 - FAMILY PLANNING,5,SALARIES AND WAGES - ON PAYROLL,$714112.00
GRANTS,0H97,FAMILY PLANNING,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2818,2818 - FAMILY PLANNING,15,SCHEDULE SALARY ADJ,$6640.00
GRANTS,0H97,FAMILY PLANNING,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2818,2818 - FAMILY PLANNING,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-9172.00
GRANTS,0H97,FAMILY PLANNING,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2818,2818 - FAMILY PLANNING,44,FRINGE BENEFITS,$263633.00
GRANTS,0H97,FAMILY PLANNING,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2818,2818 - FAMILY PLANNING,91,UNIFORM ALLOWANCE,$1200.00
GRANTS,0H97,FAMILY PLANNING,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2818,2818 - FAMILY PLANNING,245,REIMBURSEMENT TRAVELERS,$400.00
GRANTS,0H97,FAMILY PLANNING,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2818,2818 - FAMILY PLANNING,342,DRUGS MED AND CHEM MATL S,$226187.00
GRANTS,0H99,BREASTFEEDING PEER COUNSELING,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2983,2983 - BREASTFEEDING PEER COUNSELING,140,PROF & TECHNICAL SERVICES,$45000.00
GRANTS,0S06,ARRA - SUPPLEMENTAL IMMUNIZATION,41,DEPARTMENT OF PUBLIC HEALTH,DEPARTMENT OF PUBLIC HEALTH,2993,2993 - ARRA - SUPPLEMENTAL IMMUNIZATI,342,DRUGS MED AND CHEM MATL S,$500000.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,5,SALARIES AND WAGES - ON PAYROLL,$22444227.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,12,CONTRACT WAGE-PR,$54157.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,15,SCHEDULE SALARY ADJ,$102612.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,20,OVERTIME,$57394.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-687750.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,39,STUDENT AS TRAINEES,$105600.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,91,UNIFORM ALLOWANCE,$99000.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,125,OFF AND BUILDING SERV,$17800.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,130,POSTAGE,$82627.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,138,PROF SERV-IT MAINT,$17641104.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,140,PROF & TECHNICAL SERVICES,$3993963.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,149,SOFTWARE MAINT/LICENSING,$127553.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,150,PUBLICATN & REPRODT-OUT,$12500.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,152,ADVERTISING,$7200.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,156,LOCK BOX RENTAL,$16828.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,157,RENTAL EQUIPMENT AND SERVICES,$118400.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,162,REPAIR/MAINT EQUIPMENT,$599649.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,166,DUES  SUBSC & MEM,$100.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,169,TECHNICAL MEETING COSTS,$10319.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,178,FREIGHT/EXPENSE CHARGES,$2220.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,179,MESSENGER SERVICES,$74685.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,181,MOBILE COMM SERVICES,$217056.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,186,PAGERS,$800.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,189,TELEPHONE NON-CENTREX,$13900.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,190,TELEPHONE-CENTREX,$140000.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,196,DATA CIRCUITS,$50894.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,197,TELEPHONE-MAINTENANCE,$113500.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,228,OUT/TOWN TRAVEL-AUDITOR,$12000.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,229,TRAN/EXP ALLOWANCE,$20650.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,270,LOCAL TRANSPORTATION,$9151.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,339,REVENUE STAMPS,$65500.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,348,BOOKS AND RELATED MTL,$1950.00
LOCAL,100,CORPORATE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,350,STATIONERY AND OFFICE SUPPL,$227009.00
LOCAL,200,WATER FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,5,SALARIES AND WAGES - ON PAYROLL,$3303226.00
LOCAL,200,WATER FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,15,SCHEDULE SALARY ADJ,$20324.00
LOCAL,200,WATER FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,20,OVERTIME,$5000.00
LOCAL,200,WATER FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-36284.00
LOCAL,200,WATER FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,125,OFF AND BUILDING SERV,$2000.00
LOCAL,200,WATER FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,130,POSTAGE,$946709.00
LOCAL,200,WATER FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,140,PROF & TECHNICAL SERVICES,$2603380.00
LOCAL,200,WATER FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,150,PUBLICATN & REPRODT-OUT,$25000.00
LOCAL,200,WATER FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,157,RENTAL EQUIPMENT AND SERVICES,$17200.00
LOCAL,200,WATER FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,162,REPAIR/MAINT EQUIPMENT,$1342.00
LOCAL,200,WATER FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,179,MESSENGER SERVICES,$495.00
LOCAL,200,WATER FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,245,REIMBURSEMENT TRAVELERS,$2250.00
LOCAL,200,WATER FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,340,MATERIAL AND SUPPLIES,$3525.00
LOCAL,200,WATER FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,348,BOOKS AND RELATED MTL,$1400.00
LOCAL,200,WATER FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,350,STATIONERY AND OFFICE SUPPL,$27000.00
LOCAL,200,WATER FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,424,FURNITURE AND FURNISHINGS,$3750.00
LOCAL,200,WATER FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,952,CLAIMS WATER FUND,$338000.00
LOCAL,200,WATER FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,9438,REIMBURSEMENT - DGS,$5000.00
LOCAL,300,VEHICLE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,5,SALARIES AND WAGES - ON PAYROLL,$428260.00
LOCAL,300,VEHICLE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,15,SCHEDULE SALARY ADJ,$1712.00
LOCAL,300,VEHICLE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,130,POSTAGE,$5600.00
LOCAL,300,VEHICLE FUND,29,DOR,DEPARTMENT OF REVENUE,2003,2003 - DEPARTMENT OF REVENUE,350,STATIONERY AND OFFICE SUPPL,$1000.00
LOCAL,100,CORPORATE FUND,30,DOAH,DEPT OF ADMINISTRATIVE HEARING,2005,2005 - DEPT OF ADMINISTRATIVE HEARING,5,SALARIES AND WAGES - ON PAYROLL,$2863056.00
LOCAL,100,CORPORATE FUND,30,DOAH,DEPT OF ADMINISTRATIVE HEARING,2005,2005 - DEPT OF ADMINISTRATIVE HEARING,15,SCHEDULE SALARY ADJ,$15452.00
LOCAL,100,CORPORATE FUND,30,DOAH,DEPT OF ADMINISTRATIVE HEARING,2005,2005 - DEPT OF ADMINISTRATIVE HEARING,20,OVERTIME,$500.00
LOCAL,100,CORPORATE FUND,30,DOAH,DEPT OF ADMINISTRATIVE HEARING,2005,2005 - DEPT OF ADMINISTRATIVE HEARING,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-143007.00
LOCAL,100,CORPORATE FUND,30,DOAH,DEPT OF ADMINISTRATIVE HEARING,2005,2005 - DEPT OF ADMINISTRATIVE HEARING,39,STUDENT AS TRAINEES,$9800.00
LOCAL,100,CORPORATE FUND,30,DOAH,DEPT OF ADMINISTRATIVE HEARING,2005,2005 - DEPT OF ADMINISTRATIVE HEARING,130,POSTAGE,$39542.00
LOCAL,100,CORPORATE FUND,30,DOAH,DEPT OF ADMINISTRATIVE HEARING,2005,2005 - DEPT OF ADMINISTRATIVE HEARING,138,PROF SERV-IT MAINT,$817901.00
LOCAL,100,CORPORATE FUND,30,DOAH,DEPT OF ADMINISTRATIVE HEARING,2005,2005 - DEPT OF ADMINISTRATIVE HEARING,140,PROF & TECHNICAL SERVICES,$3495500.00
LOCAL,100,CORPORATE FUND,30,DOAH,DEPT OF ADMINISTRATIVE HEARING,2005,2005 - DEPT OF ADMINISTRATIVE HEARING,143,COURT REPORTING,$72723.00
LOCAL,100,CORPORATE FUND,30,DOAH,DEPT OF ADMINISTRATIVE HEARING,2005,2005 - DEPT OF ADMINISTRATIVE HEARING,157,RENTAL EQUIPMENT AND SERVICES,$8144.00
LOCAL,100,CORPORATE FUND,30,DOAH,DEPT OF ADMINISTRATIVE HEARING,2005,2005 - DEPT OF ADMINISTRATIVE HEARING,162,REPAIR/MAINT EQUIPMENT,$4960.00
LOCAL,100,CORPORATE FUND,30,DOAH,DEPT OF ADMINISTRATIVE HEARING,2005,2005 - DEPT OF ADMINISTRATIVE HEARING,166,DUES  SUBSC & MEM,$1360.00
LOCAL,100,CORPORATE FUND,30,DOAH,DEPT OF ADMINISTRATIVE HEARING,2005,2005 - DEPT OF ADMINISTRATIVE HEARING,169,TECHNICAL MEETING COSTS,$250.00
LOCAL,100,CORPORATE FUND,30,DOAH,DEPT OF ADMINISTRATIVE HEARING,2005,2005 - DEPT OF ADMINISTRATIVE HEARING,179,MESSENGER SERVICES,$5673.00
LOCAL,100,CORPORATE FUND,30,DOAH,DEPT OF ADMINISTRATIVE HEARING,2005,2005 - DEPT OF ADMINISTRATIVE HEARING,190,TELEPHONE-CENTREX,$29000.00
LOCAL,100,CORPORATE FUND,30,DOAH,DEPT OF ADMINISTRATIVE HEARING,2005,2005 - DEPT OF ADMINISTRATIVE HEARING,195,RELOCATION EXPENSES,$500.00
LOCAL,100,CORPORATE FUND,30,DOAH,DEPT OF ADMINISTRATIVE HEARING,2005,2005 - DEPT OF ADMINISTRATIVE HEARING,197,TELEPHONE-MAINTENANCE,$6500.00
LOCAL,100,CORPORATE FUND,30,DOAH,DEPT OF ADMINISTRATIVE HEARING,2005,2005 - DEPT OF ADMINISTRATIVE HEARING,229,TRAN/EXP ALLOWANCE,$2240.00
LOCAL,100,CORPORATE FUND,30,DOAH,DEPT OF ADMINISTRATIVE HEARING,2005,2005 - DEPT OF ADMINISTRATIVE HEARING,245,REIMBURSEMENT TRAVELERS,$1037.00
LOCAL,100,CORPORATE FUND,30,DOAH,DEPT OF ADMINISTRATIVE HEARING,2005,2005 - DEPT OF ADMINISTRATIVE HEARING,340,MATERIAL AND SUPPLIES,$33971.00
LOCAL,100,CORPORATE FUND,30,DOAH,DEPT OF ADMINISTRATIVE HEARING,2005,2005 - DEPT OF ADMINISTRATIVE HEARING,348,BOOKS AND RELATED MTL,$1139.00
LOCAL,100,CORPORATE FUND,30,DOAH,DEPT OF ADMINISTRATIVE HEARING,2005,2005 - DEPT OF ADMINISTRATIVE HEARING,350,STATIONERY AND OFFICE SUPPL,$13134.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,5,SALARIES AND WAGES - ON PAYROLL,$17383403.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,12,CONTRACT WAGE-PR,$133230.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,15,SCHEDULE SALARY ADJ,$43854.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,20,OVERTIME,$25000.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-1192573.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,32,REIMBURSABLE OVERTIME,$50000.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,39,STUDENT AS TRAINEES,$22500.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,50,STIPENDS,$57000.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,130,POSTAGE,$70000.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,140,PROF & TECHNICAL SERVICES,$4363897.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,143,COURT REPORTING,$4500.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,149,SOFTWARE MAINT/LICENSING,$214400.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,150,PUBLICATN & REPRODT-OUT,$25000.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,152,ADVERTISING,$4000.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,154,RENTAL-DATA HARDWARE EQ,$25800.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,157,RENTAL EQUIPMENT AND SERVICES,$20000.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,159,LEASE PURCHASE AGREEMNT,$36066.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,162,REPAIR/MAINT EQUIPMENT,$37500.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,166,DUES  SUBSC & MEM,$785.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,169,TECHNICAL MEETING COSTS,$5000.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,178,FREIGHT/EXPENSE CHARGES,$1000.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,181,MOBILE COMM SERVICES,$36000.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,190,TELEPHONE-CENTREX,$121000.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,191,TELEPHONE-RELOCATIONS,$1324.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,196,DATA CIRCUITS,$1700.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,197,TELEPHONE-MAINTENANCE,$35000.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,229,TRAN/EXP ALLOWANCE,$134000.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,270,LOCAL TRANSPORTATION,$4180.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,319,CLOTHING,$5000.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,340,MATERIAL AND SUPPLIES,$7320.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,348,BOOKS AND RELATED MTL,$10082.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,350,STATIONERY AND OFFICE SUPPL,$40400.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,931,TORT/NON-TORT JUDGMENT,$300000.00
LOCAL,100,CORPORATE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,989,REFUND CANCELLED VOUCHR,$150000.00
LOCAL,200,WATER FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,5,SALARIES AND WAGES - ON PAYROLL,$2233977.00
LOCAL,200,WATER FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,12,CONTRACT WAGE-PR,$39145.00
LOCAL,200,WATER FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,15,SCHEDULE SALARY ADJ,$657.00
LOCAL,200,WATER FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-196328.00
LOCAL,200,WATER FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,159,LEASE PURCHASE AGREEMNT,$4660.00
LOCAL,200,WATER FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,162,REPAIR/MAINT EQUIPMENT,$600.00
LOCAL,200,WATER FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,181,MOBILE COMM SERVICES,$20000.00
LOCAL,200,WATER FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,229,TRAN/EXP ALLOWANCE,$25000.00
LOCAL,300,VEHICLE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,5,SALARIES AND WAGES - ON PAYROLL,$376346.00
LOCAL,300,VEHICLE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,15,SCHEDULE SALARY ADJ,$4147.00
LOCAL,300,VEHICLE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,20,OVERTIME,$4000.00
LOCAL,300,VEHICLE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,130,POSTAGE,$2821.00
LOCAL,300,VEHICLE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,140,PROF & TECHNICAL SERVICES,$25000.00
LOCAL,300,VEHICLE FUND,67,DOB,DEPT OF BUILDINGS,2005,2005 - DEPT OF BUILDINGS,149,SOFTWARE MAINT/LICENSING,$80000.00
